province,population,area,GDP
北京,19612368,16370,28014
天津,12938693,11606,18549
河北,71854210,187045,34016
山西,35712101,156381,15528
内蒙古,24706291,1145156,16096
辽宁,43746323,145260,23409
吉林,27452815,190541,14944
黑龙江,38313991,450076,15902
上海,23019196,6306,30632
江苏,78660941,100952,85869
浙江,54426891,102045,51768
安徽,59500468,140397,27018
福建,36894217,121894,32182
江西,44567797,167302,20006
山东,95792719,153422,72634
河南,94029939,165600,44552
湖北,57237727,186163,35478
湖南,65700762,212418,33902
广东,104320459,177084,89705
广西,46023761,236811,18523
海南,8671485,33979,4462
重庆,28846170,82539,19424
四川,80417528,484310,36980
贵州,34748556,176252,13540
云南,45966766,383978,16376
西藏,3002165,1204501,1310
陕西,37327379,205900,21898
甘肃,25575263,404955,7459
青海,5626723,715587,2624
宁夏,6301350,51853,3443
新疆,21815815,1633280,10881
